Station,Latitude,Longitude,NumberLines
Aldgate,51.51394,-0.07537,1
Bermondsey,51.49813,-0.0635,1
Bethnal Green,51.52718,-0.05504,1
Borough,51.50095,-0.09446,1
Canada Water,51.49787,-0.04967,1
Chancery Lane,51.51836,-0.11115,1
City Thameslink,51.51416,-0.10335,1
Covent Garden,51.51308,-0.12427,1
Kennington,51.48823,-0.10587,1
Lambeth North,51.49894,-0.11216,1
Liverpool Street,51.517675,-0.082458,1
Oval,51.48214,-0.11284,1
Rotherhithe,51.50089,-0.05211,1
Russell Square,51.523243,-0.124336,1
Shadwell,51.51115,-0.05693,1
Southwark,51.50384,-0.10478,1
St.Paul's,51.515285,-0.097598,1
Vauxhall,51.48603,-0.12369,1
Wapping,51.50451,-0.05607,1
Aldgate East,51.51514,-0.07178,2
Bank,51.5134047,-0.08905843,2
Blackfriars,51.5114403,-0.1041905,2
Cannon Street,51.51141,-0.09047,2
Charing Cross,51.507108,-0.122963,2
Elephant & Castle,51.49467,-0.10047,2
Holborn,51.51711,-0.12055,2
London Bridge,51.505353,-0.084826,2
Mansion House,51.51256,-0.09397,2
Monument,51.510165,-0.085991,2
Old Street,51.52618,-0.08751,2
Stepney Green,51.521884,-0.046546,2
Surrey Quays,51.49365,-0.04816,2
Temple,51.51114,-0.11341,2
Tower Hill,51.50991,-0.076813,2
Moorgate,51.51817,-0.08859,2
Barbican,51.520865,-0.097758,3
Farringdon,51.52036295,-0.105126482,3
Farringdon,51.520086,-0.104789,3
Mile End,51.525306,-0.033471,3
Waterloo,51.50322,-0.11328,3
Westminster,51.50121,-0.12489,3
Whitechapel,51.51946,-0.05951,3
Embankment,51.50717,-0.12195,4
